人数,行人集群数,停留密度,聚集比例,活力度,混合度
7.0,3.0,0.0655430711610487,0.8571428571428571,0.5082044632158593,0.5116040859997553
4.0,2.0,0.2666666666666666,1.0,0.5351291017043673,0.5322787843131247
1.0,1.0,0.05,1.0,0.4826008967555638,0.4730507129609516
16.0,4.0,0.5333333333333333,0.5625,0.496260443296144,0.5201541603165662
2.0,0.0,0.0869565217391304,0.0,0.0234280772036125,0.02682256782389506
11.0,2.0,0.0,1.0,0.5976131102629336,0.6036014409714505
8.0,0.0,0.8,0.0,0.1091652266725017,0.12515213725064572
4.0,4.0,0.1666666666666666,1.0,0.5605899064100032,0.5595043043164513
10.0,5.0,2.3255813953488373,1.0,0.7101784426409952,0.7305368443702894
6.0,2.0,0.1265822784810126,0.6666666666666666,0.3987231718635322,0.4022014239636592
3.0,1.0,0.0410958904109589,0.6666666666666666,0.3506780164920599,0.3481552626789418
12.0,3.0,0.25,0.6666666666666666,0.4787491633641348,0.4928273469060196
12.0,3.0,4.8,0.6666666666666666,0.6342441493107773,0.6725623730788655
5.0,2.0,0.05,0.8,0.4467077914657696,0.4466549831832812
11.0,4.0,0.11,0.8181818181818182,0.5473006355242482,0.5584326172115874
3.0,1.0,0.05859375,1.0,0.5033509480052608,0.49677777862451494
1.0,0.0,0.2,0.0,0.0170631255526702,0.019594237511777867
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0909090909090909,0.0,0.0235631551569172,0.026978703015809978
17.0,7.0,0.2677165354330709,0.8823529411764706,0.686653516775354,0.710067914480325
2.0,2.0,0.0,1.0,0.5055594802238369,0.4983572697634985
4.0,2.0,0.2666666666666666,1.0,0.5351291017043673,0.5322787843131247
7.0,3.0,1.4,0.8571428571428571,0.5538091580282137,0.5643180752374265
4.0,1.0,0.6666666666666666,0.75,0.4203036418495049,0.42154331160478703
10.0,4.0,0.5,0.9,0.587728083057891,0.5984550927262807
8.0,3.0,0.2531645569620253,0.75,0.4759633235130569,0.4831599946593388
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,4.0,1.0,0.6278192305060164,0.640778213801998
5.0,2.0,0.625,1.0,0.5576032249364995,0.5581275373876938
3.0,1.0,0.3,1.0,0.511600939532993,0.5063138574513366
4.0,2.0,0.0449438202247191,1.0,0.527551785024908,0.523520243300298
6.0,3.0,0.2816901408450704,1.0,0.570538025453716,0.5718477084293694
3.0,1.0,0.1408450704225352,0.6666666666666666,0.3540869170072444,0.3520955750921508
17.0,3.0,2.125,0.5294117647058824,0.5313485772073454,0.5644500694256461
7.0,2.0,0.35,0.7142857142857143,0.4383115839751868,0.4438537576397077
0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0909090909090909,0.0,0.0235631551569172,0.026978703015809978
3.0,1.0,0.15,1.0,0.5064747312050817,0.5003885269181658
1.0,1.0,1.0,1.0,0.5150668828323354,0.5105778063376997
3.0,1.0,0.0551470588235294,1.0,0.5032331582918437,0.4966416267280726
