Feature_1,Feature_2,Mean_Abs_SHAP_Interaction
有效停留空间面积(㎡),遮荫率(%),0.0018312422
有效停留空间面积(㎡),可承载停留人数(人),0.0012553991
可承载停留人数(人),气味环境,0.0012302748
遮荫率(%),声环境舒适度,0.0011590588
界面开放度,临街互动性,0.0010239409
遮荫率(%),气味环境,0.0009820292
有效停留空间面积(㎡),临街互动性,0.00096232817
遮荫率(%),临街互动性,0.00094413536
可承载停留人数(人),历史感知度,0.00090885983
有效停留空间面积(㎡),气味环境,0.00090162456
可承载停留人数(人),遮荫率(%),0.0008383343
有效停留空间面积(㎡),声环境舒适度,0.00073067134
遮荫率(%),历史感知度,0.00072405225
遮荫率(%),界面开放度,0.0006890547
可承载停留人数(人),声环境舒适度,0.00066277693
声环境舒适度,临街互动性,0.00064618216
遮荫率(%),视觉丰富度,0.0006105548
有效停留空间面积(㎡),视觉丰富度,0.00059589924
可承载停留人数(人),临街互动性,0.00059193105
有效停留空间面积(㎡),历史感知度,0.0005443892
视觉丰富度,历史感知度,0.00047893988
可承载停留人数(人),界面开放度,0.0004680472
历史感知度,临街互动性,0.00045953976
视觉丰富度,界面开放度,0.00045235312
声环境舒适度,气味环境,0.0004503817
气味环境,界面开放度,0.00041257672
有效停留空间面积(㎡),界面开放度,0.0003618821
视觉丰富度,临街互动性,0.00034154687
声环境舒适度,视觉丰富度,0.00032536915
声环境舒适度,界面开放度,0.0003182744
气味环境,历史感知度,0.00029668197
可承载停留人数(人),视觉丰富度,0.00029065087
历史感知度,界面开放度,0.00027232856
气味环境,视觉丰富度,0.00023069547
声环境舒适度,历史感知度,0.00019451068
气味环境,临街互动性,0.00011190499
