Feature_1,Feature_2,Mean_Abs_SHAP_Interaction
有效停留空间面积(㎡),声环境舒适度,0.0013821489
有效停留空间面积(㎡),可承载停留人数(人),0.0013667458
有效停留空间面积(㎡),历史感知度,0.0013477515
有效停留空间面积(㎡),遮荫率(%),0.0012696926
遮荫率(%),气味环境,0.0009894111
视觉丰富度,界面开放度,0.000965546
视觉丰富度,历史感知度,0.000964574
有效停留空间面积(㎡),气味环境,0.0008730042
有效停留空间面积(㎡),界面开放度,0.0007993247
有效停留空间面积(㎡),视觉丰富度,0.0007640759
可承载停留人数(人),视觉丰富度,0.0006581285
气味环境,历史感知度,0.0006316952
气味环境,界面开放度,0.0006115405
视觉丰富度,临街互动性,0.0005800573
声环境舒适度,气味环境,0.00054846436
历史感知度,临街互动性,0.0005445817
气味环境,视觉丰富度,0.00052134536
可承载停留人数(人),遮荫率(%),0.00050230185
声环境舒适度,历史感知度,0.0004929007
声环境舒适度,视觉丰富度,0.00048211456
遮荫率(%),界面开放度,0.00046399902
遮荫率(%),声环境舒适度,0.00042107646
遮荫率(%),视觉丰富度,0.00040650848
可承载停留人数(人),声环境舒适度,0.00039979143
遮荫率(%),临街互动性,0.00039748603
可承载停留人数(人),历史感知度,0.00038208018
有效停留空间面积(㎡),临街互动性,0.00037482363
可承载停留人数(人),界面开放度,0.00030307905
遮荫率(%),历史感知度,0.00029705127
可承载停留人数(人),气味环境,0.00029043303
气味环境,临街互动性,0.00027141577
界面开放度,临街互动性,0.00025620495
声环境舒适度,临街互动性,0.00024017598
历史感知度,界面开放度,0.00023446737
可承载停留人数(人),临街互动性,0.00022978663
声环境舒适度,界面开放度,0.0001753424
