Feature_1,Feature_2,Mean_Abs_SHAP_Interaction
有效停留空间面积(㎡),遮荫率(%),0.0057302876
可承载停留人数(人),遮荫率(%),0.00328171
有效停留空间面积(㎡),视觉丰富度,0.0031860447
遮荫率(%),临街互动性,0.0030558882
遮荫率(%),视觉丰富度,0.0029281136
可承载停留人数(人),视觉丰富度,0.0029243778
遮荫率(%),气味环境,0.0027022895
遮荫率(%),历史感知度,0.0019985763
有效停留空间面积(㎡),可承载停留人数(人),0.0019381642
有效停留空间面积(㎡),界面开放度,0.0019005128
有效停留空间面积(㎡),气味环境,0.0018985602
可承载停留人数(人),临街互动性,0.0015586173
有效停留空间面积(㎡),临街互动性,0.0014858468
遮荫率(%),界面开放度,0.0014830894
气味环境,临街互动性,0.0014603507
声环境舒适度,历史感知度,0.0014192696
有效停留空间面积(㎡),声环境舒适度,0.0013662225
声环境舒适度,临街互动性,0.0013180721
声环境舒适度,视觉丰富度,0.0013047573
气味环境,历史感知度,0.0012700951
气味环境,视觉丰富度,0.0011975865
有效停留空间面积(㎡),历史感知度,0.0011470257
可承载停留人数(人),历史感知度,0.0011139159
视觉丰富度,临街互动性,0.0010946745
可承载停留人数(人),界面开放度,0.0010247906
气味环境,界面开放度,0.0010163276
遮荫率(%),声环境舒适度,0.0009543792
声环境舒适度,气味环境,0.00090107066
声环境舒适度,界面开放度,0.000886242
历史感知度,临街互动性,0.00084164133
可承载停留人数(人),气味环境,0.0008228925
界面开放度,临街互动性,0.0008033697
视觉丰富度,界面开放度,0.000761422
可承载停留人数(人),声环境舒适度,0.00075035106
历史感知度,界面开放度,0.000700702
视觉丰富度,历史感知度,0.00066155184
