序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,92347b01-af4d-4efe-9c3d-44aa044d510c,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,1,,独立,青年,男,落座,等待；休憩,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,2026-08-30 09:07:25
2,194c795e-bf47-4cae-8579-0bb22e9c3a2f,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,2,,独立,青年,女,落座,观察；休憩,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-08-30 09:07:32
3,6aa236de-6148-4b31-a786-789c58f1d830,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,3,1,集聚,中年,男,站立/倚靠,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-09-01 09:10:41
4,eafdcf10-9588-4146-8118-356ece6f3d55,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,4,1,集聚,老年,男,站立/倚靠,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-09-01 09:10:47
5,fdc3f0e8-5228-4d65-a253-de342938bc20,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,5,2,集聚,老年,男,落座,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-09-01 09:10:53
6,4a51e1ee-77f0-4d64-b527-8cad4bbfc6fc,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,6,2,集聚,老年,男,落座,社交；休憩；运动,0,0,0,0,1,0,0,1,0,0,0,1,0,0,,2026-09-01 09:11:03
7,b5335c9d-437c-4961-8ee9-83d750f4aeb7,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,7,,独立,中年,男,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-09-01 09:11:08
8,943fb2d9-9427-41f5-a0eb-ca0066f70682,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,8,,独立,中年,男,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-09-01 09:11:14
9,b03bef7f-6bf7-4f48-8bb2-ee02ec65eec3,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,9,2,集聚,青年,男,站立/倚靠,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-09-01 09:11:55
10,46641b5b-be33-4c42-984e-2c939c960df2,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,10,3,集聚,青年,男,站立/倚靠,工作,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2026-09-01 09:14:34
11,09e7469b-3865-4a61-9b05-e157d1eb555e,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,11,3,集聚,青年,女,站立/倚靠,工作,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2026-09-01 09:14:40
12,1105a357-7958-4c24-89e2-641023f661e5,fde1fe9a-a1bd-4a21-a5ee-de766edf70fa,上海市徐汇区天平路街道襄阳南路391号,12,3,集聚,青年,男,站立/倚靠,工作,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2026-09-01 09:14:45
