序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,6b9e54c4-6547-4d94-b785-3fb22c5710e2,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,1,1,集聚,青年,女,站立/倚靠,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-08-29 08:03:28
2,aac5e8d2-454a-4b95-b908-e40f8dd6cde3,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,2,1,集聚,青年,女,站立/倚靠,社交,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2026-08-29 08:03:41
3,9f96224f-48de-45f3-86d5-8e1a58d4b3a0,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,3,2,集聚,青年,男,落座,社交；饮食,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,2026-08-29 08:04:30
4,94285b8f-0859-42d7-a94a-aaf2265474bf,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,4,2,集聚,青年,男,落座,社交；饮食,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,2026-08-29 08:05:05
5,f4e46189-7f9d-44b5-9db6-02887093f1ee,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,5,,独立,老年,女,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-08-29 08:06:50
6,71ebfcec-b98b-4038-8711-f7610e0cda11,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,6,,独立,中年,男,落座,光顾；饮食,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,2026-08-29 08:07:01
7,8dd66497-4705-432d-ab39-1876da22b96e,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,7,3,集聚,青年,女,站立/倚靠,观察；光顾；饮食,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,2026-08-29 08:07:46
8,3c72c7ce-6018-4d14-882a-e969eb78c5b9,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,8,3,集聚,青年,女,站立/倚靠,观察；光顾；等待；饮食,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,2026-08-29 08:09:00
9,1489accb-4853-4e35-8145-04057d01fa52,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,9,,独立,中年,男,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-08-29 08:11:58
10,efbcc898-f5e4-4664-a0c1-bbf265c0ebe1,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,10,,独立,中年,女,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-08-30 07:26:36
11,09a18c7d-ef92-47b0-9c03-1130bbc0f7fc,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,11,4,集聚,中年,女,落座,饮食；休憩,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,2026-08-30 07:27:29
12,62523073-3c5a-4967-9432-f55b2552cafa,38f7a281-6dce-4def-8c67-954e66f3e78e,上海市徐汇区湖南路街道新乐路9号,12,4,集聚,中年,男,落座,饮食；休憩,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,2026-08-30 07:29:27
