序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,150e02e2-a650-4cdb-ad6e-4e1b87598dc7,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,1,1,集聚,青年,女,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:22:55
2,59c11971-c8f3-4c03-9f53-92e2a3e8ddb8,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,2,1,集聚,青年,女,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:23:08
3,f5d265fd-88b4-4a4a-84bd-1742b581eac1,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,3,2,集聚,青年,男,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:23:18
4,7c8acc1b-9d1b-4ccf-b18a-2c402b7e9a67,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,4,2,集聚,青年,男,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:23:32
5,c788b94c-2dd6-4eca-a94d-42a53222c50c,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,5,3,集聚,青年,女,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:23:45
6,86130aa8-3b87-4810-a44e-62a566b2366c,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,6,3,集聚,青年,女,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:24:02
7,f9216440-5b41-4c95-9e48-3b5a9b85086b,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,7,4,集聚,青年,女,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:24:35
8,b55e38e3-888c-47c9-9aa2-afe14e7665ce,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,8,4,集聚,青年,男,站立/倚靠,观察；打卡,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-29 09:25:00
9,a16ce3cc-dc7c-42b7-b884-85295643f56b,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,9,5,集聚,青年,女,站立/倚靠,打卡；社交,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,2026-08-30 06:57:23
10,3e2fc4a2-da12-49c7-8af2-5b35ee1a113e,c83cb578-5beb-4c84-a533-d728acf5b3f6,上海市徐汇区湖南路街道新乐路144号,10,5,集聚,青年,女,站立/倚靠,打卡；社交,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,2026-08-30 06:57:32
