人数,行人集群数,停留密度,聚集比例,活力度
7.0,3.0,0.0655430711610487,0.8571428571428571,0.5082044632158593
4.0,2.0,0.2666666666666666,1.0,0.5351291017043673
1.0,1.0,0.05,1.0,0.48260089675556384
16.0,4.0,0.5333333333333333,0.5625,0.49626044329614405
2.0,0.0,0.0869565217391304,0.0,0.02342807720361257
11.0,2.0,0.0,1.0,0.5976131102629336
8.0,0.0,0.8,0.0,0.10916522667250171
4.0,4.0,0.1666666666666666,1.0,0.5605899064100032
10.0,5.0,2.3255813953488373,1.0,0.7101784426409952
6.0,2.0,0.1265822784810126,0.6666666666666666,0.39872317186353223
3.0,1.0,0.0410958904109589,0.6666666666666666,0.35067801649205993
12.0,3.0,0.25,0.6666666666666666,0.47874916336413487
12.0,3.0,4.8,0.6666666666666666,0.6342441493107773
5.0,2.0,0.05,0.8,0.4467077914657696
11.0,4.0,0.11,0.8181818181818182,0.5473006355242482
3.0,1.0,0.05859375,1.0,0.5033509480052608
1.0,0.0,0.2,0.0,0.01706312555267024
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0909090909090909,0.0,0.023563155156917218
17.0,7.0,0.2677165354330709,0.8823529411764706,0.686653516775354
2.0,2.0,0.0,1.0,0.5055594802238369
4.0,2.0,0.2666666666666666,1.0,0.5351291017043673
7.0,3.0,1.4,0.8571428571428571,0.5538091580282137
4.0,1.0,0.6666666666666666,0.75,0.42030364184950497
10.0,4.0,0.5,0.9,0.587728083057891
8.0,3.0,0.2531645569620253,0.75,0.4759633235130569
0.0,0.0,0.0,0.0,0.0
2.0,1.0,4.0,1.0,0.6278192305060164
5.0,2.0,0.625,1.0,0.5576032249364995
3.0,1.0,0.3,1.0,0.511600939532993
4.0,2.0,0.0449438202247191,1.0,0.527551785024908
6.0,3.0,0.2816901408450704,1.0,0.570538025453716
3.0,1.0,0.1408450704225352,0.6666666666666666,0.3540869170072444
17.0,3.0,2.125,0.5294117647058824,0.5313485772073454
7.0,2.0,0.35,0.7142857142857143,0.4383115839751868
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0909090909090909,0.0,0.023563155156917218
3.0,1.0,0.15,1.0,0.5064747312050817
1.0,1.0,1.0,1.0,0.5150668828323354
3.0,1.0,0.0551470588235294,1.0,0.5032331582918437
4.0,2.0,0.1015228426395939,1.0,0.529485357397496
3.0,2.0,0.217391304347826,0.6666666666666666,0.37114200174815315
4.0,2.0,0.2162162162162162,0.5,0.30529255104171926
