有效停留空间面积(㎡),可承载停留人数(人),消费型停留空间占比(%),遮荫率(%),声环境舒适度,气味环境,视觉丰富度,历史感知度,路面状态,界面开放度,临街互动性,界面品质
106.8,50.0,0.0,20.0,3.3,4.0,4.0,3.3,4.0,3.7,4.0,0.5795179361956557
15.0,4.0,0.0,95.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,0.5125300319481405
20.0,30.0,60.0,90.0,3.8,3.2,2.6,3.0,3.4,3.2,3.0,0.6174226233478551
30.0,30.0,50.0,80.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,0.7039143817691575
23.0,9.0,70.0,70.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,0.696172156567504
0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,5.0,4.0,0.3373933741143582
10.0,10.0,80.0,50.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,0.7209023845790311
24.0,20.0,100.0,60.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,0.7162733334982754
4.3,0.0,0.0,60.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,0.5749947885603973
47.4,6.0,0.0,30.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,0.449685708256813
73.0,4.0,70.0,80.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.6614511600932315
48.0,15.0,40.0,40.0,2.5,2.5,3.0,3.0,3.5,4.0,3.5,0.5237893743167046
2.5,2.0,100.0,80.0,3.8,3.6,3.6,3.8,3.4,3.6,3.4,0.6753030309539698
100.0,50.0,80.0,70.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,0.8051997248266942
100.0,0.0,0.0,80.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,0.5436638899476016
51.2,0.0,0.0,80.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,0.5248322984286546
5.0,8.0,100.0,50.0,3.5,3.25,3.25,3.75,4.25,3.0,3.25,0.6356478647562713
17.0,3.0,10.0,60.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,0.4889782025018814
22.0,9.0,70.0,70.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6656024646569143
63.5,25.0,100.0,90.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,0.6803091586525405
0.0,8.0,0.0,50.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,0.4171149948413076
15.0,10.0,70.0,60.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,0.6899082169116618
5.0,5.0,80.0,70.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0.43176974842296106
6.0,0.0,70.0,80.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,0.5122249159340445
20.0,9.0,20.0,50.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.6432351138246866
31.6,15.0,30.0,50.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,0.6140083253623537
0.5,2.0,5.0,15.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,0.4562225113540955
0.5,2.0,10.0,50.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,0.5823145700609967
8.0,6.0,90.0,80.0,4.0,3.0,5.0,1.0,5.0,4.0,4.0,0.6763622438617505
10.0,7.0,10.0,50.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,0.572619586141414
89.0,0.0,0.0,0.0,3.5,3.5,2.0,2.0,3.5,3.0,3.0,0.3669236437390859
21.3,6.0,100.0,10.0,4.0,4.0,4.3,3.3,3.3,4.7,4.7,0.6634271729871795
21.3,3.0,100.0,70.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,0.7205254817531968
8.0,20.0,0.0,80.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,0.44264259101424713
20.0,10.0,10.0,90.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,0.53469763860915
1.5,4.0,0.0,50.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,0.40702800723309485
22.0,9.0,70.0,70.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,0.6789799747969244
20.0,2.0,10.0,30.0,4.0,3.0,4.0,2.0,2.0,5.0,5.0,0.47602654398655997
1.0,3.0,100.0,90.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,0.6152502770650172
54.4,4.0,0.0,80.0,2.7,3.3,3.3,3.7,3.3,4.0,3.3,0.5125826958655332
39.4,6.0,0.0,30.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,0.4587644207172254
13.8,3.0,0.0,100.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.5452692506841472
18.5,8.0,100.0,60.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.5815276586495848
32.0,9.0,100.0,90.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,0.6540166320256078
43.3,3.0,50.0,100.0,2.5,3.0,4.0,3.0,3.5,4.0,3.5,0.6116624555324492
19.9,8.0,70.0,70.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,0.6683396058481434
10.0,8.0,70.0,50.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,0.6168495971212689
1.0,3.0,0.0,50.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,0.4143348586332244
0.0,0.0,0.0,70.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,0.4424024207047703
0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,0.49425380790134044
48.6,10.0,100.0,80.0,3.3,3.0,3.7,3.0,3.7,3.3,4.0,0.6898988328061246
80.0,40.0,80.0,50.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,0.7204579981789881
20.0,10.0,20.0,20.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,0.46722141228398323
3.0,12.0,80.0,90.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,0.6263515899129712
2.0,6.0,10.0,20.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,0.5168102610864047
2.0,6.0,0.0,50.0,3.0,3.0,4.0,1.0,5.0,4.0,4.0,0.4567134710486363
5.0,6.0,0.0,80.0,3.0,3.0,5.0,1.0,5.0,4.0,4.0,0.5106356722901896
5.0,5.0,0.0,90.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,0.5915104302777937
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,1.0,0.25104337349841266
2.0,4.0,0.0,30.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,0.48780852799136
2.0,6.0,0.0,50.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,0.5632693487866316
3.0,6.0,0.0,30.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,0.5202658477817309
2.0,1.0,0.0,30.0,5.0,3.0,3.0,2.0,5.0,3.0,1.0,0.385888104821701
12.0,7.0,80.0,80.0,4.0,3.0,5.0,3.0,5.0,5.0,1.0,0.6710266224492998
3.0,4.0,0.0,80.0,2.0,3.0,5.0,2.0,5.0,2.0,1.0,0.42495453901358277
0.0,3.0,0.0,30.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,0.4816659547038382
17.4,10.0,75.0,70.0,3.0,2.0,4.0,3.0,2.5,2.0,2.0,0.5364218544194381
10.8,0.0,0.0,80.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,0.43857410145065046
61.6,0.0,0.0,90.0,3.5,4.0,3.0,3.5,3.5,4.0,3.5,0.5367434225567034
12.5,4.0,100.0,100.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.6898478946079984
12.5,1.0,0.0,100.0,3.5,4.0,4.5,4.0,3.0,2.5,3.5,0.5298594605560727
5.0,12.0,0.0,70.0,2.0,4.0,4.0,1.0,5.0,4.0,3.0,0.4709689643573798
17.28,8.0,50.0,30.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,0.3906555456611121
6.0,6.0,30.0,50.0,3.0,3.0,1.5,2.0,5.0,5.0,3.5,0.4913328676980079
12.5,30.0,80.0,50.0,4.0,3.5,3.5,2.5,4.0,1.5,3.0,0.5935890409356493
48.0,50.0,90.0,60.0,5.0,3.0,3.0,2.0,5.0,4.0,3.0,0.7194197166666351
9.0,4.0,80.0,80.0,4.0,3.33,4.0,4.0,4.67,3.33,4.0,0.6834956971648933
4.0,17.0,50.0,70.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,0.5408457329661517
20.0,7.0,65.0,60.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,0.564148426591718
22.0,7.0,45.0,55.0,2.0,4.0,2.0,2.0,3.0,5.0,5.0,0.5327272375392733
22.0,8.0,70.0,60.0,3.0,3.0,1.0,1.0,4.0,5.0,5.0,0.5603507817150617
16.0,20.0,0.0,70.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,0.6104279376377503
6.0,18.0,70.0,80.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,0.5028086966031671
18.0,7.0,60.0,60.0,3.4,3.2,4.0,4.0,4.0,3.8,4.0,0.6251711631504234
21.0,8.0,66.0,60.0,3.0,3.7,4.0,4.0,4.0,3.0,4.0,0.6234863120927997
8.0,8.0,50.0,90.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,0.6726968615852885
43.0,30.0,80.0,50.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,0.7345730143256628
36.0,10.0,50.0,90.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,0.6175463207104508
0.0,0.0,0.0,50.0,3.0,3.2,3.0,2.4,3.6,3.4,3.0,0.4080357233850723
4.0,6.0,85.0,100.0,4.0,4.0,3.4,3.2,3.4,3.4,3.8,0.6741982870573547
4.0,8.0,100.0,50.0,3.4,3.2,2.8,3.6,2.8,3.6,3.2,0.609899611832077
7.5,10.0,0.0,100.0,3.2,3.2,3.0,3.4,3.4,2.4,2.4,0.47361899525288087
30.0,30.0,100.0,100.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,0.7572834837878918
1.5,3.0,100.0,70.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,0.7395738507033853
4.0,4.0,100.0,100.0,3.0,3.0,3.0,2.0,5.0,2.0,4.0,0.6410866043607706
2.0,4.0,50.0,50.0,3.5,3.17,3.67,3.17,2.83,2.83,3.5,0.5192195157300948
34.0,14.0,40.0,60.0,4.6,4.6,3.6,3.6,3.6,3.6,3.4,0.6072940523673066
3.0,4.0,0.0,50.0,3.0,3.2,3.0,3.0,3.6,3.6,3.4,0.4379212999739161
2.0,2.0,0.0,50.0,3.2,3.4,3.8,3.8,3.6,3.4,3.0,0.46001183611732804
3.0,4.0,0.0,100.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,0.544254484672401
0.0,2.0,100.0,50.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,0.5832510156799089
4.0,4.0,100.0,100.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,0.7698196249168896
150.0,30.0,0.0,80.0,5.0,4.0,4.0,5.0,5.0,1.0,2.0,0.6233526839971731
20.0,10.0,30.0,80.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,0.5166116759112174
18.1,6.0,0.0,30.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,0.40679156555270735
0.5,2.0,5.0,30.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,0.3953730861076651
12.3,8.0,0.0,50.0,4.0,3.0,4.0,3.5,4.0,2.0,2.5,0.44978190164089454
5.0,6.0,100.0,100.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,0.7820427441158406
3.0,4.0,0.0,60.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0.45029228414477174
5.0,3.0,0.0,90.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,0.5514231548237357
15.0,10.0,90.0,90.0,2.0,3.0,2.0,1.0,5.0,4.0,3.0,0.5956838571347365
50.0,20.0,30.0,90.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,0.6207539673944518
12.0,15.0,50.0,20.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,0.6488571344866152
0.5,2.0,5.0,15.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,0.469980250754532
20.0,10.0,90.0,80.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,0.5945392396624474
0.0,0.0,0.0,50.0,3.75,3.25,3.0,3.75,4.5,2.5,2.25,0.42999849432728676
2.0,4.0,0.0,40.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,0.5354929725972709
0.0,0.0,0.0,100.0,3.0,5.0,1.0,3.0,5.0,2.0,1.0,0.42058948776472976
3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.1342547212460949
40.0,5.0,30.0,30.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,0.5353417448712502
25.0,3.0,10.0,30.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,0.38742376954183116
19.7,0.0,0.0,20.0,4.5,4.0,4.5,4.0,4.0,4.5,5.0,0.5337152310016244
1.0,3.0,5.0,30.0,3.0,2.0,3.0,5.0,2.0,4.0,4.0,0.4399792631846319
2.0,4.0,0.0,60.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,0.4875662918719713
25.0,0.0,0.0,90.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,0.46849986410316746
20.0,18.0,85.0,70.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,0.5982474322020329
42.0,22.0,80.0,60.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,0.6780662398163652
18.0,6.0,50.0,50.0,2.0,3.0,1.0,2.0,3.0,5.0,5.0,0.5014490437121154
20.0,7.0,20.0,70.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,0.5909118846654728
2.0,4.0,100.0,80.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,0.7258357538233318
3.0,10.0,100.0,80.0,3.5,3.67,3.33,3.67,2.67,3.17,3.67,0.6622614615175109
16.0,0.0,0.0,100.0,3.4,3.4,2.6,2.8,3.6,3.0,3.4,0.47856763530290714
2.0,4.0,50.0,50.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,0.6577280967488692
2.0,3.0,100.0,70.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,0.6631650898698461
