点位基础信息,,,,空间分析信息,,,,,,,,,,,,,,,,,,,,,,,行人行为信息,,,,,,,,,,,,,,,,,,,,,,,,,,
基本字段,,,,空间尺寸,,,功能类型,,,,,,,界面品质,,,,,,,,,环境舒适度,,,,总体,,,,年龄,,,,性别,,,动作,,具体行为,,,,,,,,,,,,,
序号,完整地址,点位功能,立面照片,节点空间长度(m),界面退让距离(m),有效停留空间面积(㎡),功能类型,功能混合度,功能呈现度,人均消费水平(元/人),消费型停留空间占比(%),可承载停留人数(人),界面整体状态,界面开放度,临街互动性,界面连续性,界面连续性照片,视觉丰富度,历史感知度,路面状态,动静混合度,动静混合度照片,遮荫来源,遮荫率(%),声环境舒适度,气味环境,行人样本数,行为集群数,独立人数,集聚人数,幼年人数,青年人数,中年人数,老年人数,男性人数,女性人数,无法判断性别人数,落座人数,站立/倚靠人数,观察人数,光顾人数,等待人数,打卡人数,社交人数,争吵/纠纷人数,饮食人数,休憩人数,避雨/遮阳人数,工作人数,娱乐人数,运动人数,照看人数,整理人数
1,上海市徐汇区湖南路街道安福路164号,商店,image.jpg,20,5,80,餐饮/饮品,1,4,120,80,40,4,4,4,,,4,2,4,,,建筑；雨棚,50,4,5,6,1,1,5,0,6,0,0,4,2,0,6,0,6,1,0,0,4,0,0,6,0,0,0,0,0,0
2,上海市徐汇区湖南路街道安福路166号,商店,image.jpg,20,5,100,餐饮/饮品,1,4,120,80,50,5,5,4,界面连续性好,164.jpg,5,2,4,餐厅门口有围合,164.jpg,树木；建筑；雨棚,70,4,5,5,2,1,4,0,4,1,0,2,3,0,5,0,3,2,0,2,0,0,0,3,0,0,0,0,0,0
3,上海市徐汇区湖南路街道安福路193号,商店,image.jpg,10,0.5,20,零售；文化展示,2,4,270,20,10,4,2,3,,193.jpg,3,4,4,,193.jpg,建筑,20,4,4,3,1,0,3,1,2,0,0,1,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
4,上海市徐汇区湖南路街道安福路195号,商店,image.jpg,8,2,40,餐饮/饮品,1,5,78,30,5,4,4,4,界面连续性较好,195.jpg,5,2,4,有特殊铺地、餐厅入口有抬升,195.jpg,建筑；雨棚,30,3,4,2,1,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0
5,上海市徐汇区湖南路街道安福路229弄17号,,image.jpg,10,0,25,零售；居住,2,4,99,10,3,4,2,2,连续性强,229.jpg,2,3,5,无特殊铺地 围合 抬升,229.jpg,树木,30,3,3,2,1,0,2,0,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,上海市徐汇区湖南路街道安福路290号,公建,image.jpg,50,5,100,文化展示,1,4,,,,4,4,3,,,2,4,5,,,树木；雨棚,80,4,3,11,4,2,9,0,11,0,0,4,7,0,9,2,3,0,0,0,1,0,0,11,0,0,0,0,1,0
7,上海市徐汇区湖南路街道东湖路30号,商铺,IMG_20260830_142259.jpg,12,0.5,31.6,餐饮/饮品,1,2,139,30,15,5,4,3,该餐饮店独立存在，一侧是小广场，一侧是内部通道大门，连续性不强,IMG_20260830_142259.jpg,4,4,5,警戒线围合一半座位。,,树木,50,4,5,8,3,2,6,0,4,4,0,3,5,0,4,4,3,0,0,0,2,0,0,5,0,0,0,0,0,0
8,上海市徐汇区湖南路街道东湖路56弄26号,商店,1788071864890.jpg,4.8,0,19.7,餐饮/饮品；零售,2,5,30,0,0,4.5,4.5,5,一侧连接零售店，有明显界面退让。一侧临街，做成休憩花园。,,4.5,4,4,有植物围合。,,树木,20,4.5,4,16,6,1,15,4,9,3,0,5,11,0,0,16,0,15,0,1,0,0,0,0,0,0,0,0,0,0
9,上海市徐汇区湖南路街道汾阳路57号,商店,d1 (3).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,上海市徐汇区湖南路街道汾阳路64弄2号,餐饮,d1 (2).jpg,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,0,1,2,1,3,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0
11,上海市徐汇区湖南路街道汾阳路77号,商务办公楼,d1 (1).jpg,,,,,,,,,,4,3,4,,,4,4,5,,,,,4,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,上海市徐汇区湖南路街道富民路291号,商店,IMG_20260830_160320.jpg,27.2,0,106.8,零售；文化展示,2,5,1157,0,50,4,3.7,4,极强连续性，左右均为相同界面风格的时尚大牌服装店,,4,3.3,4,有抬升，砖石铺地，石制栏杆围合,,树木,20,3.3,4,7,3,1,6,0,7,0,0,2,5,0,7,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0
